"ファイル名","タイトル","概要","重複元ファイル","Good数","Bad数","冒険活劇","ヒーロー","アクション","バトル","ミステリ","サスペンス","ホラー","ロマンス","ラブコメ","ジュブナイル","異世界","ファンタジー","SF","歴史","会話劇","奇妙な味","日常","学園","スポーツ","ギャグ","頭脳戦","伝奇","家族ドラマ","料理","タイムトラベル","知識チート","お仕事","音楽","BL"
"ふたりぶんのスープ.txt","ふたりぶんのスープ","湯のみほどの背丈の「まるびと」が暮らす、こさじ町。スープ店〈おたま屋〉のマロは、悩みに向き合うぬくもりを一杯に込めて届けている。毎朝いちばんに来る無口な森番ヨルへ、密かな想いも煮込みながら。そんなある日、北の森に、大切な味や声や色を吸う「からっぽ霧」が発生する。最大の銀鍋を背負ったマロと護衛のヨルは、胸の本音を言わなければ渡れない橋を越え、霧の中心へ向かう。けれど相手の空腹は、料理だけでは満たせないものだった。残り少ないスープを、二人は誰のために温めるのか。","",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
"コロッケの記憶、月額九百八十円.txt","コロッケの記憶、月額九百八十円","商店街の交番へ届いた被害届は「コロッケの味を盗まれた」。舌は甘さも塩気も感じるのに、おいしさだけが消えている。食いしん坊の巡査部長・宮前と新人巡査・七瀬が調べると、店々に無料配布されたスマート箸が、味と人生を結ぶ記憶をクラウドへ送っていた。運営会社が月額九百八十円で提供するのは、誰もが同じ懐かしさに涙する“最適な幸福の味”。母の記憶を持たない宮前まで赤い傘とコロッケを思い出すなか、四十年同じ味を揚げてきた店主が、灰色の完全食へ勝負を挑む。","",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"ゼロ番目の明日.txt","ゼロ番目の明日","廃時計工場で親友・冬真が息を引き取った十三秒後、その携帯へ「九年後の榊蓮」から電話が入る。告げられたのは、赤い公衆電話を探し、三回まで過去へ戻って冬真を救えという指示。だが電話の主《差引屋》は、失われるはずだった痛み、記憶、縁、未来は形を変えて必ず回収されると告げる。くだらない喧嘩が破局へ転じる四十分を、蓮は代償を払いながらやり直す。ひとつの命を救えば、その損失は誰へ届くのか。そして九年後の自分は、なぜこの夜の親友を取引に巻き込んだのか。","",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ツッコミ禁止！　俺が黙ると学校が終わる.txt","ツッコミ禁止！　俺が黙ると学校が終わる","自由な発想を守るため、あらゆるツッコミが校則で禁止された高校。生まれつきツッコミ体質の相川ユウは違反九十九点、あと一言で退学だ。そこへ冷凍マグロを抱えた転校生・星野マリカが現れ、「私のツッコミ担当になって」と迫る。全肯定されるばかりで誰にも本気で見てもらえなかった彼女は、文化祭のプレゼン大会で校則を消そうとしていた。条件は、一度も笑ったことのない校長を笑わせること。本番まで黙り通さなければならないユウは、暴走するボケを拾いながら、否定する言葉が誰かを受け止める瞬間を探す。","",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"ツッコミ部_宇宙へ行く.txt","ツッコミ部、宇宙へ行く。","転校初日、真壁律が「廊下を泳ぐな」と叫ぶと、巨大マグロがサンドイッチへ戻った。私立大法螺学園では、大勢が冗談に乗ると現実になる「ノリ災害」が日常茶飯事。過去の一言で友人を傷つけ、口出しを避けてきた律は、ツッコミ部長・天野ひよりに百年に一人の適性者として捕まる。そんな文化祭で、大喜利部長が千人の観客を前に「この学校は宇宙船だった」と宣言。校舎は地球を離れ、三十分後には宇宙船として固定される。月へ進む学園を、たった一言で日常へ引き戻せるのか。","",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"ナナシノカミ_午前零時の出席簿.txt","ナナシノカミ　――午前零時の出席簿――","午前零時、取り壊し前の旧校舎で黒板が、七年前に存在ごと消えた妹・凪の名を書く。彼女を唯一覚えている兄・真壁蓮がその名を呼ぶと、放送は十三人の出席を取り始めた。死者の声に返事をした者は名を食われ、顔も記録も周囲の記憶から消えていく。封印を守る転校生・月白御琴によれば、止めるには焼けた養育舎の出席簿から、忘れられた十三人の真名を呼び戻すしかない。妹の声が「私を呼ばないで」と警告する闇で、一時十三分までの、存在を懸けた出席確認が始まる。","",0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"ナンセンスギャグ読み切り_月曜日返納課.txt","月曜日返納課","森下アキラの枕元へ、市役所から「十四年前に持ち出した月曜日を本日中に返せ」という通知が届く。スイカにアイロンをかける姉に見送られ、向こうから近づいてくる市役所の七・五階へ向かうと、担当の根岸は曜日磁気検査と紛失物保管室の捜索を淡々と始める。やがて背広のポケットから見つかった小さな月曜日は、「戻ればまた全員に嫌われる」と返納を拒否して逃走。市内が永遠に午前九時直前を繰り返す前に、アキラは人類の憂鬱を一身に背負わされた曜日を説得できるのか。","",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ログアウトまで、ごゆっくり.txt","ログアウトまで、ごゆっくり。","人づきあいよりゲームの穴を見つけるのが得意な特待生・久世凪は、学園の華〈迎賓遊戯部〉から奇妙な攻略へ招かれる。舞台は、客の記憶から望みどおりの体験を作る仮想ホテル。設計図にない客室零号では、正体不明の客が二千九百四十七夜もチェックアウトを待っていた。過去七回の挑戦は全滅し、敗北するたび現実で大切な誰かの名前を失う。しかもログインした凪の役職は案内役ではなく「客」。不快な真実を忘れさせ、完璧に満足させようとするホテルで、親切すぎるルールの抜け穴を探す夜が始まる。","",0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"一名様、貸し出し中.txt","一名様、貸し出し中","大学の潜水同好会が訪れた月眠湖キャンプ場には、共通の思い出と技能まで付いた「友人」を貸すサービスがある。六人で予約した仲間たちは誰も申し込んだ覚えがないのに、受付は「実在参加者五名、補完参加者一名」と告げた。全員が昔からの友人にしか見える一方、同じ出来事を「一緒に体験した」と覚える者と「今日初めて会った」と覚える者がいて、記憶の辻褄は少しずつ崩れる。湖底の旧道には「貸出品返却口」の看板。翌朝十時の返却期限までに、六人は借りられた一人を見つけられるのか。思い出が作られたものでも、友情まで偽物なのか。","",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"世界の果てに、最初の旗を_読み切り.txt","世界の果てに、最初の旗を","世界を支える巨樹の枝村で、少年カナタの〈道標旗〉だけには進むべき紋が現れなかった。それでも彼は、行方不明の父と同じく天樹の頂へ登り、世界の果てへ旗を立てると笑う。ある日、道そのものを食う喰路竜と「黒旗のザンバ」が、村を支える太陽の欠片《朝火》を奪う。夜明けまでに取り戻さなければ枝ごと落ちる。標術を持たないカナタは、機巧師見習いの幼なじみルゥと、道なき逆さ滝へ飛び込む。父の元相棒が待つ天頂門まで、空白の旗は最初の一歩を作れるか。","",0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"世界は君を中心に回らない.txt","世界は君を中心に回らない","閉館後のプラネタリウムで、電源の落ちた星々が修復士・真壁湊を中心に回り始める。科学史家の遠野律は「君が動けば空が裂ける」と止めるが、二人が会ったのは三週間前のはずだった。焼けた写本『無中心論』を調べ始めてから、職員証や報告書、母の記憶から湊の存在だけが静かに消えていく。一方、遠野は彼の癖も好みも、失われた時間まで知っていた。宇宙から中心を奪った異端の天文学者と、記録から消えた助手。四百年前の装置が再び動く午前零時、救うことと相手の世界を支配することの境界が問われる。","",0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"世界最強の校正者_読み切り小説.txt","世界最強の校正者――あるいは玻璃のルチアに関する弁明","世界の綴りを読み、火球を泡へ、戦争の敵を証人へ書き換える〈第零位階〉アウレリオ。勝ちすぎて退屈した彼へ、黒犬の悪魔は「お前に逆らう心」を持つ生命の創造術を持ちかける。代価は、いつか心から「このままであれ」と願った瞬間の魂。最初の被造物を失敗作として退けた彼は、玻璃の瞳を持つ女性ルチアを完璧に設計する。だが彼女は、声も好みも与えた創造主へ「私を理解するのは私が決める」と言う。世界さえ校正できる男は、書き換えられない一つの「いいえ」と、自分の愛に潜む所有欲に向き合えるのか。","",0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"九回裏の忘れもの.txt","九回裏の忘れもの","取り壊しを控えた浜風市民球場で、弱小校のエース・片瀬蒼は祖父が遺した鍵を見つける。スコアボード裏の秘密部屋には翌日の試合結果が表示され、ハンドルを回せば一点を相手から自軍へ移せるという。ただし代価は「その一点を欲しがる理由」。最後の夏、勝ち進めば、名門校の四番捕手となった幼なじみ・律と決勝で再会できる。もう一人の幼なじみ・灯は、カメラとスコアブックで二人を追う。結果だけを変えるたび、大切な声や約束が薄れていくなか、蒼は何を残してマウンドを降りるのか。","",0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"予備の太陽_読み切りアクション小説.txt","予備の太陽","資産階級だけが「予備の身体」を所有し、記憶さえ継げる都市。代替体回収官の都築真は、逃亡したSN-0を追う。だが標的は自分と同じ顔、同じ記憶を持ち、真こそ交換後の複製だと告げた。法が人間と認めるのは一体だけ。さらに廃棄を待つ少女ミナが、すべての代替体の所在を記した台帳を奪おうとしている。正午の太陽が二人を照らすとき、「本物」の座をめぐる追跡は、命令に従う者と自由を望む者の戦いへ反転する。同じ人生を持つ二人のうち、明日を選べるのは誰なのか。","",0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
